Gene,mean_1_aerobic_t30_2_chlor, std_1_aerobic_t30_2_chlor,mean_1_aerobic_t60_2_chlor, std_1_aerobic_t60_2_chlor,mean_1_aerobic_t180_2_chlor, std_1_aerobic_t180_2_chlor,mean_1_aerobic_t30_6_nor, std_1_aerobic_t30_6_nor,mean_1_aerobic_t60_6_nor, std_1_aerobic_t60_6_nor,mean_1_aerobic_t180_6_Nor, std_1_aerobic_t180_6_Nor
edd, -0.095, 0.552, 0.867, 0.562, 0.429, 0.156, -0.092, 0.652, -0.620, 1.371, -0.084, 0.861
csgC, -0.448, 0.750, 0.337, 0.253, 0.410, 0.339, -0.537, 0.244, -0.004, 0.132, -0.348, 0.900
yedN_1, inf, nan, inf, nan, -inf, nan, inf, nan, nan, nan, -0.550, 1.129
prpB, -0.473, 0.649, 0.387, 0.405, 0.394, 0.688, -1.469, 1.033, -0.571, 0.620, -1.139, 0.823
elfD, inf, nan, 0.431, 0.963, -inf, nan, inf, nan, -inf, nan, -inf, nan
yqiJ, -1.633, 1.097, 0.306, 0.310, 0.202, 2.021, -2.367, 1.337, -2.171, 1.387, -0.149, 1.706
prfB, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
napH, 0.470, 0.744, 0.365, 0.391, 0.483, 0.507, -0.086, 1.181, -0.264, 0.855, -0.559, 0.372
casE, inf, nan, 0.040, 0.726, 0.058, 0.303, inf, nan, -0.586, 1.481, -0.668, 0.307
serC, 0.971, 1.382, 0.644, 0.151, 0.566, 0.675, 0.317, 1.153, -inf, nan, -0.817, 0.248
tppB, -0.017, 0.321, 0.518, 0.197, 0.783, 0.251, 0.248, 0.247, 0.906, 1.348, -0.097, 0.477
nuoC, 0.095, 0.784, 0.597, 0.383, 0.834, 0.272, -0.275, 0.488, -0.315, 0.750, 0.085, 0.967
yiaO, -0.162, 1.082, 0.402, 0.315, 0.261, 0.247, -0.773, 1.375, -0.489, 0.491, -0.614, 0.579
fliY, 0.074, 0.716, 0.045, 0.103, 0.030, 0.246, -0.367, 0.347, -1.167, 0.624, -0.969, 0.415
ycaQ, 0.106, 0.821, 0.483, 0.185, 0.328, 0.357, -0.199, 0.890, -0.718, 0.461, -0.916, 0.322
rbsK, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
hemL, inf, nan, 0.462, 0.323, 0.915, 1.176, inf, nan, 0.452, 1.695, 0.620, 1.843
yhjC, 0.502, 0.420, 0.418, 0.145, 0.116, 0.346, -0.376, 0.871, -1.157, 1.158, -0.532, 0.632
dipZ, 0.236, 0.421, 0.303, 0.250, 0.139, 0.288, -0.126, 0.823, -0.482, 0.773, -0.489, 0.273
gudX, -0.235, 1.227, 0.260, 0.238, 0.213, 0.243, -0.579, 1.154, -1.231, 0.937, -1.036, 0.224
ycjX, 0.561, 0.642, -0.115, 0.233, 0.273, 0.142, -0.045, 1.007, -0.714, 1.149, -0.595, 0.119
insH-7, inf, nan, -0.195, 1.303, inf, nan, nan, nan, -0.057, 2.002, nan, nan
fimD, 0.279, 1.455, 0.527, 0.165, 0.287, 0.569, -0.170, 0.926, -1.042, 1.343, -0.388, 0.158
ydiJ, 0.760, 0.277, 0.516, 0.246, 0.308, 0.093, 0.837, 0.412, -0.359, 1.954, -0.488, 0.410
pyrH, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
phoB, -0.166, 0.561, 0.588, 0.468, 0.279, 0.090, -0.230, 0.675, -1.101, 1.238, -1.234, 0.719
mtr, 1.390, 0.799, inf, nan, inf, nan, 1.075, 1.897, inf, nan, inf, nan
mraZ, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
phnE_2, 0.854, 0.880, 0.451, 0.270, 0.148, 0.592, -1.067, 1.728, 0.337, 0.177, -0.734, 0.647
xylF, -0.162, 1.109, 0.534, 0.207, 0.118, 0.142, -0.788, 0.879, -0.373, 0.099, -0.656, 0.357
dcrB, 0.084, 0.849, 0.382, 0.416, 0.273, 0.341, 0.274, 0.925, -0.550, 1.996, -0.925, 0.832
lpxL, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
phnH, inf, nan, 0.795, 0.499, 0.540, 0.848, inf, nan, -inf, nan, -0.071, 0.970
sodA, 0.726, 0.432, 0.540, 0.380, -0.662, 0.319, 0.135, 0.397, -0.066, 0.576, -1.367, 0.794
ycgG, -0.460, 0.498, 0.302, 0.380, 0.549, 0.533, -1.528, 1.915, -inf, nan, -0.840, 0.853
ykgD, 0.541, 0.960, 0.363, 0.432, 0.344, 0.401, 0.008, 0.986, -1.121, 1.356, -0.696, 0.456
kefF, inf, nan, nan, nan, inf, nan, nan, nan, inf, nan, inf, nan
yebG, 0.192, 0.935, 0.981, 0.892, 0.493, 0.799, -1.465, 1.425, -inf, nan, -0.267, 1.125
rffM, 0.769, 0.946, 0.448, 0.369, 0.536, 0.896, -0.008, 1.672, -0.788, 1.629, -0.378, 1.038
dgoT, 0.432, 0.313, 0.545, 0.432, 0.126, 0.260, -0.079, 0.273, 0.277, 0.530, -0.866, 0.171
ytfJ, 0.686, 1.043, 0.729, 0.195, 0.677, 0.466, -0.228, 0.628, -0.232, 0.573, -0.312, 0.138
gadC, -0.256, 0.997, 0.059, 0.382, 0.003, 0.377, -0.564, 0.844, -0.537, 0.458, -0.855, 0.472
parE, inf, nan, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan
yahC, 1.209, 0.309, 0.744, 0.411, 0.198, 0.245, 0.481, 0.752, 0.447, 0.621, -0.462, 0.965
ycbX, 0.166, 1.340, 0.325, 0.426, 0.375, 0.831, -0.163, 0.932, -1.647, 1.742, -0.685, 0.838
ydfI, -0.310, 1.489, 0.510, 0.491, -0.462, 0.897, -inf, nan, -1.398, 1.376, -inf, nan
eutM, 1.023, 1.670, 1.447, 1.288, -0.043, 0.474, 0.738, 1.456, -inf, nan, -1.108, 0.466
mngR, 0.198, 0.678, 0.380, 0.020, 0.211, 0.291, -0.473, 1.198, 0.204, 0.945, -0.857, 0.199
sbcD, -0.350, 0.663, 0.463, 0.398, 0.445, 0.163, -0.425, 1.013, -0.693, 0.437, -0.572, 0.328
yhiI, inf, nan, inf, nan, -0.521, 1.050, inf, nan, inf, nan, -0.936, 0.973
ilvI, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
narX, 0.009, 0.248, 0.420, 0.217, 0.139, 0.061, -0.440, 0.621, -0.528, 0.341, -0.487, 0.249
rhtC, 0.003, 0.644, 0.259, 0.203, 0.053, 0.195, -0.698, 0.658, -0.537, 0.301, -0.792, 0.645
yjcE, 0.151, 0.398, 0.082, 0.449, -0.018, 0.374, -0.415, 0.399, -0.714, 0.855, -1.089, 0.603
glnP, 0.093, 0.299, 0.304, 0.268, 0.189, 0.340, -0.375, 0.112, -0.773, 1.285, -0.272, 0.079
cpsB, 0.579, 0.118, 0.379, 0.225, 0.168, 0.157, 0.315, 0.317, -0.799, 0.421, -0.561, 0.238
ypeC, 0.453, 0.575, 0.234, 0.322, -0.121, 0.389, -0.391, 1.684, -0.944, 3.063, -1.132, 0.416
btuF, 0.573, 0.391, 0.401, 0.250, 0.271, 0.273, 0.475, 0.284, -0.384, 0.615, -0.708, 0.675
yhdW, -0.152, 0.503, 0.310, 0.550, 0.227, 0.225, -0.363, 0.854, -0.105, 0.603, -0.537, 0.476
gluQ, 0.197, 1.334, -0.467, 0.786, -0.324, 0.706, -0.202, 2.217, -1.071, 0.954, -inf, nan
yqiA, 0.200, 1.062, -0.011, 0.823, 0.043, 0.230, -1.135, 2.467, -inf, nan, -0.543, 0.657
yhjH, -0.342, 0.421, 0.591, 0.315, 0.233, 0.585, -0.113, 0.988, -0.470, 1.355, -0.577, 0.211
glxK, 0.250, 0.498, 0.324, 0.337, 0.585, 0.399, 0.842, 0.624, -0.575, 0.914, -0.277, 0.547
fecR, inf, nan, inf, nan, 0.345, 0.254, inf, nan, inf, nan, -0.650, 0.457
molR_3, -0.197, 0.813, 0.467, 0.249, 0.274, 0.287, -0.959, 1.210, -0.820, 1.558, -0.528, 0.627
pgrR, 0.273, 0.480, 0.447, 0.222, 0.438, 0.146, 0.302, 0.732, -1.117, 0.795, -0.393, 0.289
fryC, 0.253, 0.637, 0.452, 0.552, 0.285, 0.254, -0.310, 0.883, 0.172, 0.638, -0.578, 0.231
rsmG, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
yciV, 0.716, 0.632, 0.454, 0.249, 0.274, 0.282, -0.182, 1.110, 0.089, 0.687, -0.697, 0.323
recR, 0.447, 0.345, -0.025, 0.514, 0.301, 0.506, 0.147, 1.040, -0.358, 1.761, -0.404, 0.790
deoB, 0.249, 0.558, 0.239, 0.399, 0.292, 0.329, 0.080, 0.691, -0.262, 0.678, -0.925, 0.377
ypfG, -0.755, 1.676, -0.032, 0.477, 0.181, 0.724, -0.790, 1.606, -1.035, 1.234, -0.552, 0.398
cho, -0.769, 1.309, 0.234, 0.537, 0.098, 0.430, -1.182, 0.834, -1.040, 2.118, -0.250, 0.187
chbG, 0.604, 0.383, 0.495, 0.220, -0.004, 0.309, 0.554, 0.374, 0.478, 0.609, -0.586, 0.513
ddpA, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
pflB, -1.112, 1.763, 0.163, 0.526, 0.286, 0.558, -1.425, 1.774, -0.464, 0.964, -0.567, 0.431
ydaQ, -0.576, 1.060, -0.032, 1.100, 0.150, 0.554, -inf, nan, -0.157, 0.438, -0.251, 0.717
ynfB, -0.471, 1.187, 0.281, 0.264, -0.230, 0.303, -0.939, 0.884, -1.601, 0.953, -0.894, 0.410
lpd, 1.092, 0.524, 1.203, 0.560, 3.416, 0.547, 2.795, 0.353, 3.265, 0.526, 2.076, 0.834
pnuC, -0.070, 0.604, 0.235, 0.145, 0.028, 0.178, -0.583, 1.039, -0.500, 0.463, -0.835, 0.274
hsrA, -0.190, 0.943, -0.277, 1.444, -0.140, 1.214, -0.185, 1.263, 0.452, 1.293, 0.201, 1.612
ompW, -0.042, 0.288, 0.175, 0.201, 0.106, 0.444, -0.019, 0.620, 0.296, 0.857, -0.290, 0.442
insN-1, 0.922, 1.925, -0.120, 0.979, 0.851, 1.388, -inf, nan, -inf, nan, -0.004, 0.771
artQ, 0.393, 0.721, 0.635, 0.252, 0.120, 0.136, -0.008, 0.613, -0.337, 0.947, -0.787, 0.197
prlF, inf, nan, inf, nan, 0.262, 0.720, inf, nan, inf, nan, -0.629, 0.622
menA, 0.104, 0.263, 0.267, 0.219, 0.174, 0.247, -0.242, 0.528, -0.530, 0.677, -0.605, 0.261
lipB, 0.627, 0.492, 0.694, 0.565, 2.448, 1.090, 0.826, 0.666, 1.029, 1.360, 2.036, 0.879
ygjR, 0.515, 0.907, -0.076, 0.388, 0.087, 0.354, 0.490, 0.957, 0.287, 1.121, -0.719, 0.191
iscR, 1.050, 2.344, inf, nan, 2.800, 1.360, 1.200, 3.566, inf, nan, 3.529, 2.054
pepE, 0.003, 0.383, 0.469, 0.520, 0.240, 0.160, -0.152, 1.082, -0.930, 0.811, -0.372, 0.493
mdtD, 0.441, 0.563, 0.369, 0.339, 0.193, 0.104, 0.349, 0.849, 0.103, 0.231, -0.510, 0.295
fepB, 0.590, 0.202, 0.448, 0.479, 1.673, 2.888, 0.864, 1.359, 0.686, 2.332, 1.356, 4.042
yoaF, inf, nan, 0.676, 0.474, 0.135, 0.530, inf, nan, -0.822, 2.324, -0.473, 0.542
yigB, inf, nan, nan, nan, inf, nan, inf, nan, nan, nan, inf, nan
yffM, inf, nan, 0.139, 1.393, inf, nan, inf, nan, -inf, nan, inf, nan
mgtA, 0.163, 0.416, 0.322, 0.271, 0.418, 0.339, -0.414, 0.716, -0.881, 0.444, -0.495, 0.510
yedK, 0.286, 0.740, 0.476, 0.192, 0.090, 0.299, 0.569, 0.865, -0.595, 0.723, -0.573, 0.238
priA, inf, nan, -0.344, 0.223, 0.467, 0.489, inf, nan, -inf, nan, -1.739, 0.349
helD, -0.021, 1.013, 0.089, 0.373, 0.367, 0.727, -1.188, 1.127, -0.543, 0.692, -1.048, 0.624
ulaF, 0.524, 0.538, 0.300, 0.354, 0.389, 0.332, 0.312, 0.720, -0.220, 0.706, -0.297, 0.983
tauC, 0.387, 0.235, 0.469, 0.257, 0.060, 0.214, -0.129, 0.297, -0.116, 0.566, -0.817, 0.485
folP, 0.672, 0.184, 0.832, 0.563, 0.919, 0.729, 0.302, 0.717, 0.232, 0.542, 0.508, 1.108
yjjQ, -inf, nan, inf, nan, inf, nan, -0.627, 1.216, inf, nan, inf, nan
ygaZ, 0.910, 0.417, 0.226, 0.315, 0.666, 0.196, 0.239, 0.353, -0.552, 0.461, -0.269, 0.134
yihD, 0.251, 0.820, 0.297, 0.438, -0.027, 0.092, 0.145, 0.899, 0.389, 0.556, -0.785, 0.223
fryB, 0.488, 0.328, 0.477, 0.152, 0.377, 0.421, 0.352, 0.314, 0.133, 1.685, -0.610, 0.546
argE, 0.545, 0.938, 0.688, 0.264, 0.450, 0.397, -0.046, 1.435, -0.281, 0.657, -0.424, 0.379
wza, -0.829, 1.082, 0.707, 0.374, 0.353, 0.515, -0.444, 0.497, 0.160, 0.795, -0.479, 0.443
ymfH, 0.417, 0.769, 0.255, 0.598, -0.032, 0.165, -1.458, 2.262, -inf, nan, -0.299, 0.877
yfiL, -0.457, 0.403, 0.389, 0.386, -0.012, 0.846, -0.391, 1.122, -inf, nan, -0.809, 0.567
ygaQ_2, nan, nan, -inf, nan, -0.108, 1.255, inf, nan, -inf, nan, 0.159, 0.760
mcrA, -0.955, 1.164, inf, nan, 0.076, 0.096, -inf, nan, inf, nan, -inf, nan
mtlD, 0.255, 0.476, 0.320, 0.469, 0.519, 0.337, -0.306, 0.714, -0.504, 0.425, 0.000, 0.182
oppB, -0.182, 0.640, 0.727, 0.237, 0.430, 0.363, -0.387, 0.712, 0.343, 1.048, -0.398, 0.353
fhuE, 0.437, 0.239, 0.450, 0.282, 0.234, 0.112, 0.186, 0.771, 0.031, 1.101, -0.509, 0.441
yafT, -1.356, 1.591, 0.869, 1.227, -0.671, 0.888, -0.783, 0.817, 0.307, 1.655, -inf, nan
eamB, -0.353, 0.956, 0.346, 0.571, 0.297, 0.872, -0.380, 0.722, -inf, nan, -0.602, 0.680
yaiF, -0.348, 1.260, -0.022, 0.128, 0.382, 0.693, -0.892, 1.026, -0.527, 1.573, -0.421, 0.326
fdoH, -0.508, 1.373, 0.507, 0.554, 0.751, 0.633, 0.222, 1.491, -inf, nan, -inf, nan
ybcJ, 0.765, 0.367, 0.491, 0.553, 0.789, 0.215, 0.153, 1.073, -0.335, 0.989, -0.325, 0.448
yajO, -0.292, 0.883, 0.068, 0.245, 0.075, 0.408, -0.590, 1.327, -0.867, 0.866, -0.752, 0.774
fryA, 0.678, 0.505, 0.206, 0.408, 0.506, 0.148, -0.032, 1.154, 0.075, 0.669, -0.504, 0.600
mglA, 0.215, 0.713, 0.209, 0.179, 0.567, 1.409, 0.178, 1.425, -0.527, 0.799, -0.109, 1.892
ubiB, 1.314, 1.425, 2.380, 1.088, 2.850, 0.781, 2.425, 1.826, 3.212, 1.975, 3.945, 1.521
gapC_2, -0.666, 0.537, 0.800, 1.283, -0.043, 0.344, -0.383, 1.268, -1.052, 0.521, -0.597, 0.371
cydC, -inf, nan, inf, nan, inf, nan, 2.995, 1.195, inf, nan, inf, nan
evgA, 0.183, 0.196, 0.417, 0.247, 0.003, 0.333, -0.421, 0.927, -0.015, 0.752, -0.405, 0.417
erfK, -0.520, 0.693, 0.370, 0.598, -0.101, 0.585, -1.423, 1.850, -0.437, 0.782, -0.535, 0.376
epmA, 0.340, 1.031, -0.065, 1.506, 0.940, 0.768, 0.528, 0.854, -inf, nan, -0.716, 1.939
murP, 0.058, 0.650, 0.408, 0.307, 0.122, 0.193, -0.212, 0.722, -0.437, 0.658, -0.667, 0.568
gntK, 0.527, 0.967, 0.426, 0.546, 0.860, 1.246, 0.247, 0.697, -0.331, 0.560, -0.536, 0.254
ytfL, -0.472, 1.485, 0.184, 1.133, 0.195, 0.300, 0.566, 1.159, -0.274, 0.262, -0.704, 0.432
yibQ, 0.575, 1.071, 0.968, 0.686, 0.414, 1.120, 0.149, 1.695, 0.814, 1.114, -0.889, 1.137
yibF, 0.503, 0.529, 0.500, 0.671, 0.164, 0.865, 0.760, 0.521, 0.472, 1.014, -0.607, 0.654
nrfF, 0.556, 0.982, 0.405, 0.389, 0.714, 0.631, -0.109, 1.021, -0.877, 0.790, -0.348, 0.737
hycF, -0.174, 0.811, 0.880, 0.887, 0.151, 0.217, -0.010, 0.459, 0.277, 0.845, -0.282, 0.370
smg, -1.374, 1.120, 1.130, 1.427, 0.295, 0.748, -0.943, 0.860, -0.602, 2.303, -0.323, 0.722
yjfL, 0.170, 0.567, -inf, nan, inf, nan, -inf, nan, -inf, nan, inf, nan
ydhF, 0.175, 1.180, 0.815, 0.415, 0.222, 0.450, 0.279, 0.928, 0.655, 1.753, -0.443, 0.805
prmC, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
hybA, 0.196, 2.058, 0.913, 0.371, 1.466, 2.228, -0.282, 1.325, 0.482, 0.784, 0.745, 2.597
barA, 0.363, 0.696, 0.475, 0.152, 0.096, 0.474, -0.489, 0.851, -0.467, 0.869, -1.310, 0.925
cheR, -0.028, 0.830, 0.717, 0.817, 0.486, 0.228, -0.724, 0.920, -1.150, 1.008, -0.835, 0.358
rcsC, 0.195, 0.495, 0.255, 0.245, 0.119, 0.388, -0.291, 0.452, -0.255, 0.252, -0.806, 0.233
puuC, -0.040, 0.743, 0.324, 0.857, 0.410, 0.297, -1.002, 2.527, -1.372, 1.844, -0.016, 0.844
bglX, 0.449, 0.506, 0.252, 0.516, 0.474, 0.591, -0.036, 0.866, -0.393, 0.941, -0.168, 0.705
ycgX, nan, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
ydeT, 0.709, 0.501, 0.335, 0.619, -inf, nan, -inf, nan, -inf, nan, -0.754, 0.336
hcaT, 0.287, 0.570, 0.354, 0.194, 0.018, 0.364, -0.461, 0.464, -0.753, 0.885, -0.655, 0.174
glgA, 0.433, 0.817, 0.660, 0.202, 1.293, 1.637, 0.173, 1.242, -0.790, 1.711, 0.584, 2.145
flgE, -0.221, 0.586, 0.301, 0.140, 0.353, 0.273, -0.181, 0.796, -0.318, 0.682, -0.548, 0.481
pgpC, 1.238, 1.510, 0.838, 0.676, 0.591, 0.590, -inf, nan, -inf, nan, -0.317, 0.472
marC, -0.498, 0.606, 0.117, 0.405, 0.251, 0.224, -0.723, 0.287, -0.760, 0.921, -0.860, 0.496
frc, 0.742, 0.866, 0.428, 0.237, 0.510, 0.484, 0.153, 0.285, 0.151, 0.814, -0.551, 0.655
ycbF, 0.140, 1.540, 0.687, 0.689, 0.494, 0.572, 0.472, 1.754, -0.234, 1.639, -0.616, 0.235
marB, 1.030, 1.837, 1.045, 0.497, 0.590, 0.765, 0.397, 2.810, -1.449, 1.225, -0.455, 0.881
yliI, 0.084, 0.988, 0.061, 0.523, 0.006, 0.378, -0.755, 1.565, -0.767, 1.041, -1.138, 0.462
ydhS, -0.739, 1.741, 0.787, 0.620, 0.182, 0.888, -0.840, 1.044, 0.036, 0.879, -0.773, 0.961
yliE, -inf, nan, 0.322, 1.140, -0.140, 0.886, -inf, nan, -inf, nan, -0.513, 0.963
yqiK, -0.894, 0.978, inf, nan, inf, nan, 0.093, 1.892, inf, nan, inf, nan
waaH, inf, nan, inf, nan, inf, nan, nan, nan, inf, nan, inf, nan
fecC, 0.001, 1.180, 1.448, 1.451, 0.593, 0.272, -0.109, 0.809, 0.982, 0.456, -0.493, 0.483
kdpE, -0.260, 0.821, 0.247, 0.357, 0.033, 0.152, -0.539, 0.966, -0.130, 0.769, -0.325, 0.590
bacA, -0.348, 0.702, 0.277, 0.549, -0.404, 0.885, -0.717, 0.365, -0.286, 0.643, -0.906, 0.302
proP, -0.093, 0.635, 0.431, 0.232, 0.443, 0.593, -0.862, 1.329, -0.512, 1.171, -0.491, 0.558
speD, -0.292, 1.564, 0.191, 0.527, 0.532, 0.432, 0.511, 1.122, -inf, nan, -0.398, 1.570
yraI, 0.209, 0.961, 0.386, 0.292, 0.165, 0.390, 0.169, 1.045, 0.155, 1.205, -0.295, 1.519
ppdD, -0.234, 1.536, -0.013, 0.450, 0.029, 0.329, -0.291, 1.460, -1.412, 1.935, -0.660, 0.741
yggE, 0.247, 0.961, 0.325, 0.764, 0.528, 0.199, 0.406, 0.854, -inf, nan, 0.330, 0.653
frwC, 0.235, 0.337, 0.298, 0.391, 0.125, 0.160, 0.025, 0.225, -0.807, 2.023, -0.651, 0.220
ddlB, inf, nan, nan, nan, nan, nan, inf, nan, nan, nan, inf, nan
cobC, 0.701, 0.550, 0.406, 0.545, 0.372, 0.246, 0.591, 0.522, 0.350, 1.196, -0.503, 0.770
dcuA, -0.525, 1.469, -0.244, 1.482, -0.990, 1.628, -0.000, 0.565, -inf, nan, -0.521, 1.023
ybiY, 0.823, 0.699, 0.184, 0.336, 0.223, 0.351, 0.475, 0.912, -0.781, 0.926, -0.582, 0.291
yeeT, inf, nan, inf, nan, 0.600, 0.670, inf, nan, inf, nan, -0.328, 0.904
yccS, 0.291, 0.494, 0.381, 0.110, -0.021, 0.192, 0.234, 0.448, -1.435, 1.550, -1.024, 0.487
yihX, 0.647, 0.935, 0.641, 1.260, 0.087, 0.464, -0.748, 1.638, -1.446, 1.500, -0.780, 0.379
mazE, -0.167, 1.399, 0.555, 0.688, 0.421, 0.536, -0.118, 0.975, -0.087, 0.402, -0.843, 0.384
speF, 0.379, 0.499, 0.386, 0.311, 0.082, 0.162, 0.099, 0.364, -0.054, 0.469, -0.720, 0.249
ynfH, 0.824, 0.464, 0.537, 0.428, 0.102, 0.312, 0.636, 0.454, -0.397, 1.035, -1.302, 0.971
ydhJ, 0.250, 1.002, 0.200, 0.241, 0.367, 0.272, -0.124, 0.657, -0.111, 0.620, -0.391, 0.189
emrK, 0.294, 0.799, 0.202, 0.373, 0.041, 0.675, -0.651, 0.864, -0.351, 0.647, -0.125, 0.307
prs, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
rpoB, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
gnsB, -0.789, 0.698, 1.000, 0.590, 0.349, 0.317, -1.630, 1.266, -inf, nan, -0.466, 0.973
lsrA, -0.246, 1.444, 0.177, 0.593, 0.483, 0.999, -inf, nan, -1.276, 2.042, -0.448, 0.243
cspE, -0.412, 0.860, 0.304, 0.191, 0.300, 0.236, -0.765, 0.498, -1.003, 1.016, -0.215, 0.308
yncH, -1.251, 0.355, 0.404, 0.256, 0.319, 0.451, -inf, nan, -inf, nan, -inf, nan
htpG, inf, nan, inf, nan, 0.426, 1.801, inf, nan, inf, nan, -0.641, 1.799
tldD, -inf, nan, 0.792, 0.829, 0.846, 0.795, -1.096, 2.082, -inf, nan, 0.080, 1.103
ycdT, -0.158, 0.709, 0.307, 0.383, 0.702, 2.142, -0.532, 1.474, -1.369, 0.909, 0.434, 2.411
ibpA, -0.248, 0.325, 0.781, 0.321, 0.137, 0.431, -0.797, 1.274, 0.335, 0.820, -0.867, 0.499
ylaB, 0.445, 0.634, 0.393, 0.596, 0.239, 0.429, -0.144, 1.044, -0.159, 0.933, -0.900, 0.621
yafU, -0.129, 0.418, 0.599, 0.745, 0.195, 0.514, -0.134, 0.234, -0.902, 1.544, -0.651, 0.429
marA, 0.079, 0.469, 0.355, 0.111, 0.002, 0.324, -1.205, 1.227, 0.110, 0.832, -0.572, 0.208
ydcP, 0.455, 1.340, 0.220, 0.394, 0.395, 0.502, 0.348, 1.233, -0.761, 0.798, -0.186, 0.739
dinB, 0.171, 1.185, 0.417, 0.230, 0.388, 0.338, -0.384, 0.960, -0.698, 0.967, -0.770, 0.872
ykgJ, inf, nan, 0.396, 0.337, -0.088, 0.833, inf, nan, -0.522, 0.820, -0.644, 0.249
yhjA, inf, nan, nan, nan, -inf, nan, inf, nan, inf, nan, -inf, nan
fucU, -0.188, 1.441, -0.094, 0.475, -0.213, 0.789, -0.729, 1.463, -inf, nan, 0.129, 1.917
yfaX, -0.619, 1.210, 0.468, 0.353, inf, nan, -0.399, 1.010, -inf, nan, inf, nan
lomR_2, -0.007, 0.953, 0.684, 0.566, 0.207, 0.814, -inf, nan, -0.586, 3.022, 0.110, 1.930
ycfL, -0.096, 0.519, 0.023, 0.377, 0.466, 0.228, -0.306, 0.906, -2.017, 0.468, -0.683, 0.592
lysC, 0.385, 0.387, 0.556, 0.359, 0.042, 0.437, 0.088, 0.537, -0.323, 1.200, -0.969, 0.583
cpsG, -0.608, 1.052, 0.350, 0.187, 0.099, 0.269, -0.355, 0.716, -0.592, 0.379, -0.737, 0.383
glpQ, inf, nan, 0.573, 0.588, 0.396, 0.307, inf, nan, 0.143, 0.573, -0.901, 1.154
yehA, -inf, nan, 0.353, 0.375, 0.434, 0.737, 0.534, 2.198, 0.311, 0.353, -0.333, 1.022
sbp, 0.472, 0.220, 0.091, 0.137, 0.514, 0.354, 0.064, 0.283, -1.229, 0.604, -0.320, 0.478
menF, -0.158, 0.496, 0.633, 0.619, 0.586, 0.746, 0.186, 0.508, -0.712, 0.699, -0.202, 0.635
yjdP, 0.052, 0.833, 0.047, 1.113, 0.088, 1.101, -0.469, 0.671, -inf, nan, -0.887, 1.522
lysR, -0.026, 1.326, 0.236, 0.590, 0.283, 0.492, -0.295, 1.290, -inf, nan, -1.019, 0.771
yghB, 0.641, 1.486, 1.018, 1.545, 0.076, 1.034, 0.252, 1.443, -inf, nan, -0.384, 1.234
sseA, -0.154, 1.033, 0.375, 0.679, 0.261, 0.307, -0.486, 0.565, -0.057, 0.839, -0.311, 0.327
adiC, -0.223, 1.213, 0.483, 0.193, 0.167, 0.446, -0.575, 0.932, -0.707, 0.346, -0.589, 0.697
yeaV, -0.905, 1.385, 0.317, 0.388, 0.134, 0.403, -1.179, 1.572, -0.202, 0.381, -0.741, 0.281
mntH, -0.026, 1.245, 0.390, 0.272, -0.229, 0.255, -0.249, 1.360, -0.718, 1.172, 0.107, 0.624
ymgD, -1.278, 1.549, 0.290, 0.720, 0.770, 2.900, -2.432, 1.481, -inf, nan, 0.343, 2.626
purL, -0.073, 0.753, 0.319, 0.652, 0.327, 0.653, -0.504, 0.461, -inf, nan, -0.316, 0.559
hyaA, 0.903, 0.622, 0.677, 0.358, 0.361, 0.360, 0.209, 1.066, 0.476, 1.205, -0.576, 0.747
ymjA, inf, nan, -inf, nan, inf, nan, inf, nan, -inf, nan, inf, nan
ydfT, -inf, nan, inf, nan, nan, nan, -inf, nan, nan, nan, nan, nan
ycbU, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan, inf, nan
norW, -0.639, 1.883, 0.635, 0.733, 0.578, 1.223, -1.252, 0.304, -inf, nan, -0.908, 0.477
efeU_1, 0.257, 0.808, 0.551, 0.189, 0.110, 0.043, -0.506, 0.724, 0.974, 1.012, -0.733, 0.171
ychS, -0.420, 0.863, 1.297, 1.846, 0.115, 1.663, -inf, nan, -inf, nan, -inf, nan
ytfH, 1.057, 0.540, 0.278, 0.386, 0.202, 0.434, 0.406, 0.409, -1.036, 1.494, -0.573, 0.299
tdcF, 0.710, 0.566, 0.176, 0.386, -0.009, 0.775, -0.373, 1.197, -0.705, 0.921, -0.685, 0.480
yccT, 0.864, 0.623, 0.357, 0.864, 0.923, 1.376, 0.367, 1.159, -0.026, 0.560, 0.533, 1.802
dmsB, -inf, nan, -0.631, 0.701, 0.222, 0.253, -inf, nan, -1.060, 1.059, -0.595, 1.357
